Depth,GR
-0.6096,117.1986
-1.2192,114.3924
-1.8288,113.9355
-2.43841,112.0893
-3.04801,118.3763
-3.65761,108.6416
-4.26721,121.5634
-4.87681,99.4141
-5.48641,97.425
-6.09601,98.6214
-6.70561,118.3297
-7.31522,123.2455
-7.92482,113.699
-8.53442,105.9912
-9.14402,99.291
-9.75362,125.5907
-10.36322,122.6821
-10.97282,112.0495
-11.58242,107.0765
-12.19202,87.9272
-12.80163,75.4585
-13.41123,66.7204
-14.02083,114.3702
-14.63043,125.3575
-15.24003,123.015
-15.84963,118.6005
-16.45923,119.6162
-17.06883,105.0021
-17.67844,84.3884
-18.28804,117.2934
-18.89764,114.4302
-19.50724,100.6825
-20.11684,102.5545
-20.72644,111.9867
-21.33604,112.406
-21.94564,111.0408
-22.55525,121.3191
-23.16485,110.1528
-23.77445,79.765
-24.38405,99.6337
-24.99365,112.9442
-25.60325,122.3969
-26.21285,116.0748
-26.82245,107.2655
-27.43205,106.4427
-28.04166,92.0914
-28.65126,91.9001
-29.26086,92.8805
-29.87046,99.3525
-30.48006,101.74
-31.08966,99.8878
-31.69926,105.989
-32.30886,107.489
-32.91847,94.3326
-33.52807,95.1125
-34.13767,100.9116
-34.74727,123.2062
-35.35687,117.365
-35.96647,120.5585
-36.57607,119.4408
-37.18567,115.9797
-37.79528,118.5681
-38.40488,108.8398
-39.01448,111.6157
-39.62408,120.0045
-40.23368,123.4649
-40.84328,114.9507
-41.45288,120.6982
-42.06248,119.0002
-42.67208,124.4093
-43.28169,118.988
-43.89129,107.2377
-44.50089,113.1734
-45.11049,118.4375
-45.72009,106.3814
-46.32969,108.507
-46.93929,112.136
-47.54889,128.6375
-48.1585,130.9738
-48.7681,138.5358
-49.3777,122.5527
-49.9873,115.8518
-50.5969,117.7874
-51.2065,121.6851
-51.8161,114.1766
-52.4257,64.7739
-53.03531,70.5616
-53.64491,98.0251
-54.25451,119.6363
-54.86411,97.0772
-55.47371,70.363
-56.08331,117.2917
-56.69291,121.5609
-57.30251,120.6742
-57.91211,122.1871
-58.52172,104.2422
-59.13132,137.5592
-59.74092,137.2374
-60.35052,95.2333
-60.96012,130.108
-61.56972,119.6975
-62.17932,118.6606
-62.78892,125.1669
-63.39853,130.8318
-64.00813,132.0839
-64.61773,122.6806
-65.22733,119.8349
-65.83693,119.2268
-66.44653,120.7938
-67.05613,116.9476
-67.66573,118.5558
-68.27534,124.2277
-68.88494,114.1434
-69.49454,119.5056
-70.10414,116.7792
-70.71374,111.908
-71.32334,97.1166
-71.93294,96.2715
-72.54254,90.7997
-73.15214,64.37
-73.76175,92.0637
-74.37135,114.347
-74.98095,120.0352
-75.59055,110.0786
-76.20015,119.6471
-76.80975,117.803
-77.41935,118.2354
-78.02895,112.7245
-78.63856,117.9895
-79.24816,107.6655
-79.85776,108.6948
-80.46736,119.7859
-81.07696,99.809
-81.68656,118.9541
-82.29616,130.5028
-82.90576,126.4127
-83.51537,112.0084
-84.12497,125.4217
-84.73457,131.1626
-85.34417,128.8527
-85.95377,127.8324
-86.56337,123.2618
-87.17297,126.4335
-87.78257,122.9305
-88.39217,85.4556
-89.00178,66.1677
-89.61138,111.1321
-90.22098,128.2638
-90.83058,129.303
-91.44018,123.4196
-92.04978,123.7353
-92.65938,117.0997
-93.26898,107.1341
-93.87859,97.8888
-94.48819,89.9944
-95.09779,93.3159
-95.70739,101.9703
-96.31699,111.0393
-96.92659,110.3867
-97.53619,118.4019
-98.14579,119.3827
-98.7554,130.4885
-99.365,132.3929
