Depth,GR
0,83.9291
-1.0668,105.2541
-2.1336,100.357
-3.2004,119.1521
-4.2672,125.4154
-5.334,131.7039
-6.4008,189.1026
-7.4676,135.5451
-8.5344,137.8671
-9.6012,124.3749
-10.668,131.6212
-11.7348,153.6607
-12.8016,163.5869
-13.8684,127.4366
-14.9352,130.4354
-16.002,153.0777
-17.0688,138.5473
-18.1356,133.8687
-19.2024,154.1887
-20.2692,130.8947
-21.336,129.4032
-22.4028,104.4315
-23.4696,107.6046
-24.5364,114.4206
-25.6032,128.0403
-26.67,119.4408
-27.7368,108.5807
-28.8036,117.9579
-29.8704,121.6052
-30.9372,146.7312
-32.004,132.3848
-33.0708,131.0623
-34.1376,132.786
-35.2044,131.9465
-36.2712,122.4744
-37.338,116.0589
-38.4048,129.0231
-39.4716,130.4296
-40.5384,119.5754
-41.6052,103.0299
-42.672,124.2615
-43.7388,95.1799
-44.8056,108.3449
-45.8724,119.0129
-46.9392,123.0831
-48.006,104.4482
-49.0728,79.5688
-50.1396,125.0638
-51.2064,87.4554
-52.2732,120.3736
-53.34,125.8346
-54.4068,136.9714
-55.4736,132.1903
-56.5404,124.9944
-57.6072,120.4241
-58.674,115.0561
-59.7408,87.5253
-60.8076,108.4442
-61.8744,84.6371
-62.9412,117.089
-64.008,122.2501
-65.0748,116.7445
-66.1416,120.4224
-67.2084,116.0888
-68.2752,116.1133
-69.342,121.1887
-70.4088,127.5662
-71.4756,122.0086
-72.5424,133.2393
-73.6092,114.1771
-74.676,109.9092
-75.7428,108.8148
-76.8096,101.7826
-77.8764,112.7324
-78.9432,117.414
-80.01,115.2385
-81.0768,102.2378
-82.1436,109.8261
-83.2104,93.4988
-84.2772,106.9594
-85.344,105.4949
-86.4108,108.5775
-87.4776,111.7119
-88.5444,115.5211
-89.6112,104.0671
-90.678,111.2309
-91.7448,115.2612
-92.8116,120.4923
-93.8784,110.3948
-94.9452,96.0273
-96.012,122.5081
-97.0788,116.6482
-98.1456,128.8757
-99.2124,144.2381
-100.2792,140.719
-101.346,148.6877
-102.4128,129.5235
-103.4796,123.522
-104.5464,120.4934
-105.6132,130.0097
-106.68,118.477
-107.7468,131.9058
-108.8136,133.7424
-109.8804,106.2047
-110.9472,112.6379
-112.014,96.0831
-113.0808,109.8178
-114.1476,113.8618
-115.2144,113.6128
-116.2812,112.7159
-117.348,109.7487
-118.4148,116.6895
-119.4816,108.3569
-120.5484,114.5968
-121.6152,111.667
-122.682,118.7351
-123.7488,102.7666
-124.8156,111.4912
-125.8824,118.5642
-126.9492,109.4037
-128.016,115.1211
-129.0828,115.3305
-130.1496,112.3407
-131.2164,112.8436
-132.2832,107.0926
-133.35,107.4149
-134.4168,105.6477
-135.4836,125.1337
-136.5504,122.4456
-137.6172,116.3739
-138.684,125.9165
-139.7508,114.3489
-140.8176,117.4102
-141.8844,123.2751
-142.9512,112.6625
-144.018,121.6598
-145.0848,117.2336
-146.1516,101.5848
-147.2184,109.9619
-148.2852,111.9934
-149.352,121.2038
-150.4188,96.7748
-151.4856,108.4853
-152.5524,115.2197
-153.6192,113.8257
-154.686,111.3089
-155.7528,113.4868
-156.8196,114.5786
-157.8864,105.1514
-158.9532,113.5164
-160.02,115.673
-161.0868,110.6713
-162.1536,92.2772
-163.2204,106.606
-164.2872,101.0735
-165.354,99.9989
-166.4208,89.1549
-167.4876,110.6425
-168.5544,100.3904
-169.6212,109.0747
-170.688,108.1544
-171.7548,105.3669
-172.8216,103.2542
-173.8884,112.4072
-174.9552,113.4726
-176.022,108.2563
-177.0888,109.9213
-178.1556,97.6777
-179.2224,104.4322
-180.2892,101.5767
-181.356,116.4854
-182.4228,105.2531
-183.4896,114.1822
-184.5564,114.6582
-185.6232,93.4375
-186.69,103.1133
-187.7568,99.874
-188.8236,104.3102
-189.8904,110.7711
-190.9572,111.9592
-192.024,108.3737
-193.0908,101.8941
-194.1576,117.3099
-195.2244,111.8705
-196.2912,110.7625
-197.358,118.8489
-198.4248,119.5612
-199.4916,79.3074
-200.5584,98.9833
-201.6252,85.6828
-202.692,108.444
-203.7588,112.132
-204.8256,120.4462
-205.8924,111.7407
-206.9592,115.4214
-208.026,98.6043
-209.0928,103.9835
-210.1596,100.3233
-211.2264,96.3464
-212.2932,113.9831
-213.36,111.443
-214.4268,115.6165
-215.4936,115.589
-216.5604,113.1262
-217.6272,101.2744
-218.694,124.1615
-219.7608,105.3333
-220.8276,113.3682
-221.8944,123.6467
-222.9612,112.7639
-224.028,104.2581
-225.0948,115.7289
-226.1616,114.734
-227.2284,101.1208
-228.2952,106.374
-229.362,83.5149
-230.4288,104.1576
-231.4956,103.4691
-232.5624,98.4985
-233.6292,101.1259
-234.696,96.9331
-235.7628,95.0712
-236.8296,110.5809
-237.8964,109.0793
-238.9632,123.2072
-240.03,126.3657
-241.0968,124.9092
-242.1636,120.5399
-243.2304,117.5368
-244.2972,123.3433
-245.364,108.4265
-246.4308,116.3483
-247.4976,118.8229
-248.5644,103.6658
-249.6312,126.0667
-250.698,119.9904
-251.7648,106.116
-252.8316,129.2467
-253.8984,131.7327
-254.9652,114.0702
-256.032,125.81
-257.0988,121.6116
-258.1656,134.1739
-259.2324,124.9833
-260.2992,125.8103
-261.366,111.3
-262.4328,110.2652
-263.4996,129.1466
-264.5664,120.2488
-265.6332,119.3311
-266.7,102.6625
-267.7668,125.1464
-268.8336,118.553
-269.9004,127.0744
-270.9672,108.3512
-272.034,101.9393
-273.1008,110.2999
-274.1676,91.0585
-275.2344,122.8543
-276.3012,127.8309
-277.368,117.1929
-278.4348,118.7362
-279.5016,99.539
-280.5684,83.8513
-281.6352,71.9515
-282.702,73.5184
-283.7688,74.2187
-284.8356,118.752
-285.9024,121.0559
-286.9692,106.2602
-288.036,131.0419
-289.1028,127.6354
-290.1696,134.4758
-291.2364,112.0412
-292.3032,105.9714
-293.37,85.8708
-294.4368,127.3186
-295.5036,105.4368
-296.5704,117.0955
-297.6372,129.8426
-298.704,111.5055
-299.7708,91.1594
-300.8376,74.3013
-301.9044,76.8598
-302.9712,83.5911
-304.038,105.4515
-305.1048,109.1847
-306.1716,117.9632
-307.2384,97.1457
-308.3052,96.6365
-309.372,115.7624
-310.4388,108.9467
-311.5056,123.989
-312.5724,111.8694
-313.6392,118.4501
-314.706,106.7277
-315.7728,121.4687
-316.8396,113.6025
-317.9064,125.369
-318.9732,107.5435
-320.04,98.9683
-321.1068,94.3327
-322.1736,93.4508
-323.2404,107.1973
-324.3072,79.1767
-325.374,80.518
-326.4408,74.2549
-327.5076,79.2097
-328.5744,104.3925
-329.6412,116.8535
-330.708,116.7229
-331.7748,117.3286
-332.8416,107.4725
-333.9084,106.6998
-334.9752,110.2801
-336.042,101.494
-337.1088,98.881
-338.1756,84.4426
-339.2424,81.3492
-340.3092,102.154
-341.376,99.4248
-342.4428,95.6005
-343.5096,96.4667
-344.5764,118.43
-345.6432,106.6546
-346.71,118.5144
-347.7768,90.8494
-348.8436,94.2651
-349.9104,96.7437
-350.9772,74.7258
-352.044,123.016
-353.1108,100.2321
-354.1776,105.1994
-355.2444,98.3858
-356.3112,126.0345
-357.378,110.2044
-358.4448,101.2408
-359.5116,112.8306
-360.5784,109.4459
-361.6452,103.124
-362.712,80.7183
-363.7788,115.451
-364.8456,113.0977
-365.9124,99.7002
-366.9792,102.9541
-368.046,114.3332
-369.1128,110.5091
-370.1796,113.4339
-371.2464,113.6788
-372.3132,112.5815
-373.38,114.2293
-374.4468,105.4524
-375.5136,106.6658
-376.5804,115.3558
-377.6472,114.5825
-378.714,100.3504
-379.7808,123.084
-380.8476,100.2463
-381.9144,109.3542
-382.9812,106.175
-384.048,117.9744
-385.1148,109.7566
-386.1816,112.2729
-387.2484,98.355
-388.3152,118.988
-389.382,117.4235
-390.4488,109.6792
-391.5156,117.0597
-392.5824,116.558
-393.6492,114.3627
-394.716,117.9332
-395.7828,110.6113
-396.8496,115.7081
-397.9164,106.5074
-398.9832,103.5249
-400.05,111.7618
-401.1168,115.3354
-402.1836,106.1699
-403.2504,114.5893
-404.3172,116.0632
-405.384,107.2787
-406.4508,102.7243
-407.5176,96.7807
-408.5844,76.7171
-409.6512,88.0281
-410.718,122.4169
-411.7848,101.9522
-412.8516,90.1236
-413.9184,110.9978
-414.9852,111.2601
-416.052,116.0671
-417.1188,126.3537
-418.1856,115.4992
-419.2524,114.891
-420.3192,104.5371
-421.386,87.1554
-422.4528,100.2637
-423.5196,105.6661
-424.5864,114.3792
-425.6532,111.8029
-426.72,87.3927
-427.7868,89.6163
-428.8536,99.0127
-429.9204,75.9203
-430.9872,84.4332
-432.054,68.6851
-433.1208,99.1309
-434.1876,116.6364
-435.2544,113.3486
-436.3212,112.9951
-437.388,113.9996
-438.4548,106.869
-439.5216,108.4412
-440.5884,111.9127
-441.6552,108.3478
-442.722,107.6869
-443.7888,111.4426
-444.8556,113.2672
-445.9224,122.1171
-446.9892,116.3202
-448.056,126.4207
-449.1228,116.6023
-450.1896,87.4488
-451.2564,125.4688
-452.3232,123.1024
-453.39,113.418
-454.4568,113.8826
-455.5236,119.6865
-456.5904,115.8409
-457.6572,120.4632
-458.724,116.024
-459.7908,115.8803
-460.8576,129.0826
-461.9244,108.1863
-462.9912,146.7713
-464.058,104.288
-465.1248,120.5532
-466.1916,119.1368
-467.2584,124.153
-468.3252,124.686
-469.392,125.4333
-470.4588,110.6437
-471.5256,116.805
-472.5924,130.6369
-473.6592,124.2874
-474.726,119.8859
-475.7928,122.9859
-476.8596,79.7424
-477.9264,129.254
-478.9932,118.9746
-480.06,119.8576
-481.1268,117.2224
-482.1936,91.104
-483.2604,100.707
-484.3272,108.1435
-485.394,115.6207
-486.4608,123.235
-487.5276,107.643
-488.5944,117.5051
-489.6612,98.416
-490.728,111.1072
-491.7948,127.4484
-492.8616,124.6485
-493.9284,133.7495
-494.9952,120.1552
-496.062,121.0992
-497.1288,112.819
-498.1956,120.9283
-499.2624,127.5023
-500.3292,123.4243
-501.396,126.1228
-502.4628,116.638
-503.5296,109.0621
-504.5964,117.8587
-505.6632,104.3838
-506.73,114.497
-507.7968,78.193
-508.8636,77.8669
-509.9304,108.7243
-510.9972,117.066
-512.064,105.9631
-513.1308,113.9738
-514.1976,112.9612
-515.2644,83.9952
-516.3312,93.1643
-517.398,127.4313
-518.4648,112.5345
-519.5316,118.5261
-520.5984,90.3547
-521.6652,105.9432
-522.732,118.375
-523.7988,115.1469
-524.8656,114.1277
-525.9324,118.0848
-526.9992,120.6293
-528.066,122.7447
-529.1328,109.9787
-530.1996,113.5426
-531.2664,114.4772
-532.3332,95.0507
-533.4,103.57
-534.4668,121.2868
-535.5336,107.1006
-536.6004,120.5454
-537.6672,109.9479
-538.734,125.0335
-539.8008,117.4644
-540.8676,106.1708
-541.9344,119.6125
-543.0012,105.899
-544.068,100.7188
-545.1348,112.2966
-546.2016,105.1749
-547.2684,116.4886
-548.3352,109.3455
-549.402,107.3672
-550.4688,115.5838
-551.5356,120.1305
-552.6024,108.8112
-553.6692,110.2511
-554.736,126.0746
-555.8028,107.1562
-556.8696,121.2049
-557.9364,106.961
