Depth,GR
0,137.445
-1.0668,137.1727
-2.1336,136.7601
-3.2004,138.5952
-4.2672,141.6841
-5.334,140.4861
-6.4008,138.0283
-7.4676,136.3667
-8.5344,135.1827
-9.6012,132.6234
-10.668,131.4313
-11.7348,133.2022
-12.8016,134.8518
-13.8684,134.9478
-14.9352,135.6193
-16.002,137.4179
-17.0688,139.5261
-18.1356,140.838
-19.2024,140.8511
-20.2692,137.8139
-21.336,141.3904
-22.4028,140.0679
-23.4696,140.2085
-24.5364,138.5918
-25.6032,141.7364
-26.67,137.4838
-27.7368,134.983
-28.8036,134.4501
-29.8704,135.1623
-30.9372,135.3279
-32.004,137.2279
-33.0708,144.1033
-34.1376,150.6501
-35.2044,153.4097
-36.2712,150.1631
-37.338,147.0479
-38.4048,144.2253
-39.4716,135.7722
-40.5384,131.4165
-41.6052,135.7748
-42.672,139.314
-43.7388,137.6727
-44.8056,139.2222
-45.8724,139.0154
-46.9392,140.2538
-48.006,141.1889
-49.0728,144.9398
-50.1396,147.2763
-51.2064,148.3933
-52.2732,143.7112
-53.34,138.602
-54.4068,132.4541
-55.4736,123.3646
-56.5404,120.2788
-57.6072,117.06
-58.674,111.0477
-59.7408,105.6919
-60.8076,108.8981
-61.8744,109.4614
-62.9412,113.1942
-64.008,119.9136
-65.0748,124.2871
-66.1416,124.7425
-67.2084,123.3822
-68.2752,118.8772
-69.342,114.8099
-70.4088,116.2793
-71.4756,116.4274
-72.5424,119.3761
-73.6092,126.3466
-74.676,131.7603
-75.7428,131.8458
-76.8096,133.5506
-77.8764,134.8878
-78.9432,132.249
-80.01,130.3788
-81.0768,130.9193
-82.1436,131.5443
-83.2104,132.0552
-84.2772,128.9154
-85.344,124.6339
-86.4108,123.3718
-87.4776,116.8262
-88.5444,113.7561
-89.6112,114.831
-90.678,118.8923
-91.7448,118.8038
-92.8116,123.9091
-93.8784,126.4866
-94.9452,126.7676
-96.012,123.1036
-97.0788,118.047
-98.1456,113.7384
-99.2124,111.1632
-100.2792,111.4121
-101.346,111.5398
-102.4128,111.1521
-103.4796,113.3487
-104.5464,112.0482
-105.6132,106.3186
-106.68,107.0787
-107.7468,113.3987
-108.8136,114.7819
-109.8804,116.4981
-110.9472,116.3325
-112.014,115.3039
-113.0808,106.1714
-114.1476,97.9106
-115.2144,96.8386
-116.2812,102.9565
-117.348,105.27
-118.4148,108.0833
-119.4816,110.9478
